trial	seed	foe_before	foe_after	foe_max	switched	our_after	rng_after
147	1000564466	78	91	125	1	139	1075731588
148	3655000227	78	85	125	1	139	3902807245
149	2014468692	78	87	125	1	139	3192241401
150	373937157	78	89	125	1	139	967023967
151	3028372918	78	90	125	1	139	1607158611
152	1387841383	78	85	125	1	139	2326207985
153	4042277144	78	87	125	1	139	858316346
154	2401745609	78	89	125	1	139	1377018074
155	761214074	78	90	125	1	139	2217500364
156	3415649835	78	85	125	1	139	749608725
157	1775118300	78	87	125	1	139	3576684382
158	134586765	78	88	125	1	139	2108792743
159	2789022526	78	90	125	1	139	640901104
160	1148490991	78	91	125	1	139	3467976761
161	3802926752	78	87	125	1	139	2000085122
162	2162395217	78	88	125	1	139	532193483
163	521863682	78	72	125	1	139	686596463
164	3176299443	78	91	125	1	139	1891377501
165	1535767908	78	87	125	1	139	3396480969
166	4190203669	78	88	125	1	139	3250561519
167	2549672134	78	89	125	1	139	1782669880
168	909140599	78	91	125	1	139	3166340432
169	3563576360	78	67	125	1	139	226315389
170	1923044825	78	88	125	1	139	1581257642
171	282513290	78	89	125	1	139	2936199895
172	2936949051	78	91	125	1	139	3033146277
173	1296417516	78	86	125	1	139	1351117105
174	3950853277	78	88	125	1	139	97362999
175	2310321742	78	71	125	1	139	4061001611
176	669790207	78	91	125	1	139	1120976568
177	3324225968	78	86	125	1	139	4283622674
178	1683694433	78	87	125	1	139	2815731035
179	43162898	78	89	125	1	139	1347839396
180	2697598659	78	91	125	1	139	4174915053
181	1057067124	78	66	125	1	139	3600720537
182	3711502885	78	87	125	1	139	1239131775
183	2070971350	78	89	125	1	139	4066207432
184	430439815	78	90	125	1	139	3370580000
185	3084875576	78	85	125	1	139	1130424154
186	1444344041	78	87	125	1	139	3957499811
187	4098779802	78	89	125	1	139	3140439463
188	2458248267	78	90	125	1	139	1021716533
189	817716732	78	85	125	1	139	3848792190
190	3472152493	78	87	125	1	139	2910298926
191	1831620958	78	70	125	1	139	4265241179
192	191089423	78	90	125	1	139	1325216136
193	2845525184	78	91	125	1	139	2272192930
194	1204993649	78	87	125	1	139	804301291
195	3859429410	78	88	125	1	139	1095075599
196	2218897875	78	90	125	1	139	2163485309
197	578366340	78	74	125	1	139	3804960105
198	3232802101	78	87	125	1	139	3522669327
199	1592270566	78	88	125	1	139	2054777688
200	4246706327	78	90	125	1	139	586886049
201	2606174792	78	91	125	1	139	3413961706
202	965643257	78	86	125	1	139	1946070067
203	3620079018	78	88	125	1	139	478178428
204	1979547483	78	89	125	1	139	3305254085
205	339015948	78	91	125	1	139	1837362446
206	2993451709	78	86	125	1	139	3114538494
207	1352920174	78	88	125	1	139	3196546464
208	4007355935	78	89	125	1	139	1728654825
209	2366824400	78	91	125	1	139	2884397957
210	726292865	78	86	125	1	139	3087838843
211	3380728626	78	87	125	1	139	1299315167
212	1740197091	78	89	125	1	139	2654257420
213	99665556	78	91	125	1	139	2979131222
214	2754101317	78	86	125	1	139	1069174630
215	1113569782	78	87	125	1	139	43347944
216	3768005543	78	89	125	1	139	2870423601
217	2127474008	78	91	125	1	139	839034093
218	486942473	78	86	125	1	139	4229607619
219	3141378234	78	87	125	1	139	2761715980
220	1500846699	78	89	125	1	139	1293824341
221	4155282460	78	90	125	1	139	4120899998
222	2514750925	78	85	125	1	139	2653008359
223	874219390	78	87	125	1	139	1185116720
224	3528655151	78	89	125	1	139	4012192377
225	1888123616	78	90	125	1	139	3088637525
226	247592081	78	85	125	1	139	1076409099
227	2902027842	78	87	125	1	139	3903484756
228	1261496307	78	89	125	1	139	2858496988
229	3915932068	78	90	125	1	139	967701478
230	2275400533	78	91	125	1	139	1273414198
231	634868998	78	87	125	1	139	2628356451
232	3289304759	78	88	125	1	139	858993857
233	1648773224	78	90	125	1	139	1043273661
234	8241689	78	91	125	1	139	2218177875
235	2662677450	78	87	125	1	139	750286236
236	1022145915	78	88	125	1	139	813133124
237	3676581676	78	90	125	1	139	2109470254
238	2036050141	78	91	125	1	139	641578615
239	395518606	78	86	125	1	139	3468654272
240	3049954367	78	88	125	1	139	2000762633
241	1409422832	78	89	125	1	139	532870994
242	4063858593	78	91	125	1	139	3359946651
243	2423327058	78	86	125	1	139	1892055012
244	782795523	78	88	125	1	139	424163373
245	3437231284	78	89	125	1	139	3251239030
246	1796699749	78	91	125	1	139	1783347391
247	156168214	78	86	125	1	139	2832596019
248	2810603975	78	87	125	1	139	3142531409
249	1170072440	78	89	125	1	139	1674639770
250	3824508201	78	91	125	1	139	2602455482
251	2183976666	78	86	125	1	139	3033823788
252	543445131	78	87	125	1	139	1017372692
253	3197880892	78	89	125	1	139	98040510
254	1557349357	78	91	125	1	139	2925116167
255	4211785118	78	86	125	1	139	787232155
256	2571253583	78	87	125	1	139	4284300185
